Drug_ID,Gene_ID,Disease_ID
332,17,4229
332,17,5290
332,17,1708
332,17,5087
332,17,3136
332,17,5355
333,246,965
334,247,2099
335,213,2471
339,65,284
339,65,415
339,65,5660
340,17,765
340,17,4229
340,17,5290
340,17,1708
340,17,5087
340,17,3136
340,17,5355
341,250,4097
341,250,5240
341,250,1055
17,251,3687
344,57,2085
344,57,2521
344,57,4813
345,57,2085
345,57,2521
345,57,4813
346,254,4775
347,92,591
348,207,871
348,207,5051
349,255,3642
351,256,1754
351,256,4038
352,124,4630
352,124,4678
185,257,3572
185,257,2823
353,0,657
353,0,1201
353,0,669
356,233,3176
357,57,2085
357,57,2521
357,57,4813
358,136,220
87,260,1867
87,260,2447
360,261,5443
361,262,5031
116,171,2509
116,171,5061
116,171,1753
362,263,4867
363,65,284
363,65,415
363,65,5660
9,100,3292
365,67,1301
368,267,5254
370,89,5105
370,89,5474
371,17,765
371,17,4229
371,17,5290
371,17,1708
371,17,5087
371,17,3136
371,17,5355
374,8,5185
374,8,5148
374,8,847
375,56,2443
375,56,5586
375,56,4313
375,56,2612
375,56,5284
375,56,5661
379,273,1518
380,275,2219
380,275,2069
384,145,5356
386,278,4032
386,278,3003
386,278,5220
386,278,4589
386,278,4115
388,106,1501
389,279,2844
389,279,4279
391,281,3319
391,281,5555
391,281,2131
391,281,216
394,283,14
395,50,2106
396,284,4155
398,286,4939
330,145,5356
399,261,5443
173,287,3296
173,287,2820
401,215,3634
401,215,477
401,215,2998
401,215,1305
402,288,2782
402,288,667
404,77,5628
404,77,5484
405,14,2814
383,8,5185
383,8,5148
383,8,847
406,290,2356
407,291,1048
318,293,3206
158,17,765
158,17,4229
158,17,5290
158,17,1708
158,17,5087
158,17,3136
158,17,5355
410,286,4939
411,291,1048
412,294,11
412,294,573
413,56,2443
413,56,5586
413,56,4313
413,56,2612
413,56,5284
413,56,5661
414,296,3764
415,297,1826
417,299,3476
39,300,3255
39,300,27
39,300,1088
39,300,5384
419,56,2443
419,56,5586
419,56,4313
419,56,2612
419,56,5284
419,56,5661
420,56,2443
420,56,5586
420,56,4313
420,56,2612
420,56,5284
420,56,5661
68,17,765
68,17,4229
68,17,5290
68,17,1708
68,17,5087
68,17,3136
68,17,5355
425,57,2085
425,57,2521
425,57,4813
383,305,5489
383,305,5646
383,305,2786
429,21,3070
146,89,5105
146,89,5474
273,70,1637
430,74,3705
374,17,765
374,17,4229
374,17,5290
374,17,1708
374,17,5087
374,17,3136
374,17,5355
436,312,1451
52,57,2085
52,57,2521
52,57,4813
438,166,2004
438,166,5466
439,130,3499
440,8,5185
440,8,5148
440,8,847
441,17,765
441,17,4229
441,17,5290
441,17,1708
441,17,5087
441,17,3136
441,17,5355
443,17,765
443,17,4229
443,17,5290
443,17,1708
443,17,5087
443,17,3136
443,17,5355
445,65,284
445,65,415
